qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505608.1_Human_rhinovirus_A1	80.9	2158	403	7	6	2154	1	2157	0.0	3634
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_040958.1_Enterovirus_B	48.4	2202	1063	32	6	2154	1	2182	0.0	2023
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_NP_040958_Enterovirus_B	48.4	2202	1063	32	6	2154	1	2182	0.0	2023
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_003358790.1_Enterovirus_J	47.3	2205	1078	27	6	2154	1	2178	0.0	1984
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009028564.1_Enterovirus_sp.	48.0	2206	1067	32	6	2154	1	2182	0.0	1974
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505605.1_Enterovirus_D68	46.6	2221	1080	33	6	2154	1	2188	0.0	1961
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009353025.1_Enterovirus_goat_JL14	46.5	2202	1096	30	6	2154	1	2172	0.0	1919
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_YP_009020973_Possum_enterovirus_W1	46.7	2205	1080	34	6	2154	1	2166	0.0	1905
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009344963.1_Enterovirus_AN12	46.0	2212	1092	32	6	2154	1	2173	0.0	1895
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_653149.1_Enterovirus_H	45.7	2220	1112	34	6	2154	1	2197	0.0	1888
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_758520.1_Porcine_enterovirus_9	45.6	2203	1110	32	6	2154	1	2168	0.0	1882
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009243645.1_Yak_enterovirus	45.1	2207	1112	33	6	2154	1	2166	0.0	1878
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009505603.1_Coxsackievirus_A2	45.3	2214	1121	31	6	2154	1	2190	0.0	1871
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_042242.1_Enterovirus_A	45.1	2214	1129	30	6	2154	1	2193	0.0	1853
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009246449.1_Enterovirus_SEV-gx	45.0	2244	1105	36	6	2154	1	2209	0.0	1839
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009259673.1_Human_enterovirus	44.6	2209	1142	30	6	2154	1	2187	0.0	1834
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009508417.1_Picornaviridae_sp._rodent_Ee_PicoV_NX2015	39.4	2367	1132	51	6	2154	1	2282	0.0	1570
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009552136.1_Marmot_sapelovirus_1	38.2	2314	1200	50	21	2154	117	2381	0.0	1413
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_004782204.1_Bat_picornavirus_3	38.1	2350	1193	54	3	2154	52	2338	0.0	1411
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_004934011.1_Feline_picornavirus	37.1	2337	1227	48	14	2154	49	2337	0.0	1399
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_004782528.1_Bat_picornavirus_1	37.3	2367	1208	57	7	2154	75	2383	0.0	1370
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_005351240.1_Canine_picornavirus	37.3	2380	1210	57	7	2154	50	2378	0.0	1370
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_004782529.1_Bat_picornavirus_2	37.5	2349	1216	54	7	2154	74	2372	0.0	1360
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009345901.1_Bat_sapelovirus	36.1	2359	1202	52	31	2154	192	2480	0.0	1244
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Reptile_GXSXC128559_Guangxi_changeable_lizard_picornavirus_2_7115bp	35.7	2308	1123	59	9	2154	116	2224	0.0	1231
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_164335.1_Avian_sapelovirus	35.3	2241	1135	62	30	2154	479	2521	0.0	1172
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_004935357.1_Quail_picornavirus_QPV1_HUN_2010	33.7	2247	1204	58	24	2154	405	2482	0.0	1131
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740401.1_Rhinovirus_A	72.6	460	126	0	1695	2154	1	460	1.42e-237	709
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_QDY92378.1_Pink-eared_duck_picornavirus	34.2	1159	705	19	1032	2150	906	2046	1.95e-207	680
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like-Picornaviridae_AXF38653.1_Avocet_picornavirus	34.1	1213	728	27	986	2154	1027	2212	6.63e-200	661
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_001552442.1_Rhinovirus_C	59.3	460	186	1	1695	2154	1	459	2.05e-188	578
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009483887.1_Sichuan_takin_enterovirus	57.4	477	200	2	1680	2154	3	478	7.10e-184	566
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009020972.1_Enterovirus_F	58.0	462	191	2	1695	2154	1	461	2.71e-182	561
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_YP_009508973.1_Dromedary_camel_enterovirus_19CC	57.4	462	194	2	1695	2154	1	461	1.84e-179	553
Picornaviridae_Enterovirus_rhinovirus_A30_VMR1011691_51	picorna-like_Picornaviridae_NP_740525.1_Rhinovirus_B14	55.3	461	204	2	1695	2154	1	460	1.22e-177	548
